Team,Player,ROS,Playing time %,Role,IP_GS
CHC,Jeremiah Estrada,37 IP,RP 6%,Middle,0
CHC,Codi Heuer,37 IP,RP 6%,Middle,0
CHC,Manuel Rodriguez,12 IP,RP 2%,Middle,0
CHC,Anthony Kay,12 IP,RP 2%,Middle,0
CHC,Brendon Little,12 IP,RP 2%,Middle,0
CHC,Mark Leiter Jr.,12 IP,RP 2%,Middle,0
CHC,Keegan Thompson,49 IP,RP 8%,Long,0
CIN,Hunter Greene,155 IP,GS 18%,Starter 1,5.3
CIN,Nick Lodolo,155 IP,GS 18%,Starter 2,5.3
CIN,Graham Ashcraft,149 IP,GS 17%,Starter 3,5.4
CIN,Luis Cessa,111 IP,GS 12% RP 4%,"Starter 4, Middle",4.4
CIN,Luke Weaver,84 IP,GS 11%,Starter 5,4.7
CIN,Connor Overton,84 IP,GS 9% RP 4%,"Starter, Long",4
CIN,Justin Dunn,45 IP,GS 6%,Starter,4.6
CIN,Brandon Williamson,48 IP,GS 5% RP 2%,"Starter, Long",4.3
CIN,Chase Anderson,14 IP,GS 2%,Starter,4.2
CIN,Levi Stoudt,32 IP,GS 2% RP 3%,"Starter, Long",4
CIN,Alexis Diaz,58 IP,RP 9% SV 80%,Closer,0
CIN,Lucas Sims,52 IP,RP 8% SV 15%,Setup,0
CIN,Tony Santillan,45 IP,RP 7% SV 5%,Setup,0
CIN,Ian Gibaut,58 IP,RP 9%,Middle,0
CIN,Buck Farmer,52 IP,RP 8%,Middle,0
CIN,Fernando Cruz,45 IP,RP 7%,Middle,0
CIN,Alex Young,39 IP,RP 6%,Middle,0
CIN,Joel Kuhnel,32 IP,RP 5%,Middle,0
CIN,Tejay Antone,32 IP,RP 5%,Middle,0
CIN,Ricky Karcher,26 IP,RP 4%,Middle,0
CIN,Derek Law,26 IP,RP 4%,Middle,0
CIN,Bennett Sousa,19 IP,RP 3%,Middle,0
CIN,Vladimir Gutierrez,13 IP,RP 2%,Middle,0
CIN,Casey Legumina,13 IP,RP 2%,Middle,0
CIN,Reiver Sanmartin,52 IP,RP 8%,Long,0
CLE,Shane Bieber,181 IP,GS 18%,Starter 1,6.2
CLE,Triston McKenzie,169 IP,GS 18%,Starter 2,5.8
CLE,Cal Quantrill,163 IP,GS 18%,Starter 3,5.6
CLE,Aaron Civale,137 IP,GS 16%,Starter 4,5.3
CLE,Zach Plesac,140 IP,GS 16%,Starter 5,5.4
CLE,Cody Morris,76 IP,GS 6% RP 6%,"Starter, Long",4.4
CLE,Konnor Pilkington,51 IP,GS 4% RP 4%,"Starter, Long",4.5
CLE,Xzavion Curry,36 IP,GS 2% RP 4%,"Starter, Long",4.4
CLE,Hunter Gaddis,35 IP,GS 2% RP 4%,"Starter, Long",4
CLE,Emmanuel Clase,61 IP,RP 11% SV 85%,Closer,0
CLE,James Karinchak,55 IP,RP 10% SV 10%,Setup,0
CLE,Trevor Stephan,55 IP,RP 10% SV 5%,Setup,0
CLE,Eli Morgan,61 IP,RP 11%,Middle,0
CLE,Enyel De Los Santos,50 IP,RP 9%,Middle,0
CLE,Nick Sandlin,50 IP,RP 9%,Middle,0
CLE,Tim Herrin,50 IP,RP 9%,Middle,0
CLE,Sam Hentges,39 IP,RP 7%,Middle,0
CLE,Jason Bilous,17 IP,RP 3%,Long,0
CLE,Joey Cantillo,17 IP,RP 3%,Long,0
COL,German Marquez,172 IP,GS 18%,Starter 1,5.9
COL,Kyle Freeland,154 IP,GS 17%,Starter 2,5.6
COL,Antonio Senzatela,132 IP,GS 16%,Starter 3,5.1
COL,Ryan Feltner,119 IP,GS 15%,Starter 4,4.9
COL,Jose Urena,118 IP,GS 14%,Starter 5,5.2
COL,Austin Gomber,100 IP,GS 7% RP 7%,"Starter, Long",5.1
COL,Peter Lambert,56 IP,GS 6% RP 2%,"Starter, Long",4.5
COL,Ryan Rolison,20 IP,GS 3%,Starter,4.1
COL,Connor Seabold,32 IP,GS 2% RP 3%,"Starter, Long",4.3
COL,Noah Davis,25 IP,GS 2% RP 2%,"Starter, Long",4
COL,Daniel Bard,60 IP,RP 10% SV 90%,Closer,0
COL,Brent Suter,60 IP,RP 10% SV 10%,Setup,0
COL,Justin Lawrence,54 IP,RP 9%,Setup,0
COL,Brad Hand,48 IP,RP 8%,Setup,0
COL,Tyler Kinley,24 IP,RP 4%,Setup,0
COL,Dinelson Lamet,54 IP,RP 9%,Middle,0
COL,Pierce Johnson,48 IP,RP 8%,Middle,0
COL,Jake Bird,42 IP,RP 7%,Middle,0
COL,Riley Pint,24 IP,RP 4%,Middle,0
COL,Gavin Hollowell,24 IP,RP 4%,Middle,0
COL,Lucas Gilbreath,24 IP,RP 4%,Middle,0
COL,Nick Mears,18 IP,RP 3%,Middle,0
COL,Blair Calvo,12 IP,RP 2%,Middle,0
COL,Ty Blach,24 IP,RP 4%,Long,0
DET,Eduardo Rodriguez,160 IP,GS 18%,Starter 1,5.5
DET,Matt Manning,135 IP,GS 16%,Starter 2,5.2
DET,Spencer Turnbull,116 IP,GS 14%,Starter 3,5.1
DET,Matthew Boyd,97 IP,GS 12%,Starter 4,5
DET,Michael Lorenzen,99 IP,GS 12%,Starter 5,5.1
DET,Tarik Skubal,79 IP,GS 9%,Starter,5.4
